"cbsa","zip","tax_rate","covid"
37980,19363,0.5,0
37980,19363,0.5,0
37980,19363,0.5,0
37980,19363,0.5,0
37980,19365,0.5,0
37980,18073,0.5,0
37980,18073,0.5,0
37980,18944,0.5,0
37980,19460,0.5,0
37980,19460,0.5,0
37980,19366,0.5,0
37980,19464,0.5,0
37980,19464,0.5,0
37980,19465,0.5,0
37980,19464,0.5,0
37980,19076,0,0
37980,18951,0.5,0
37980,18951,0.5,0
37980,18076,0.5,0
37980,18955,0.5,0
37980,19078,0,0
37980,18077,0.5,0
37980,18077,0.5,0
37980,19468,0.5,0
37980,18957,0.5,0
37980,19473,0.5,0
37980,18960,0.5,0
37980,19079,1,0
37980,18962,0.5,0
37980,19474,0.75,0
37980,18963,0.5,0
37980,18964,0.5,0
37980,18964,0.5,0
37980,18966,0.5,0
37980,18966,0.5,0
37980,18966,0.5,0
37980,19475,0.5,0
37980,19064,0.5,0
37980,19064,0.75,0
37980,19064,0,0
37980,19064,0.5,0
37980,19064,0.5,0
37980,19064,0.5,0
37980,19064,0.5,0
37980,19064,0.5,0
37980,19064,0.5,0
37980,19081,0,0
37980,18969,0.5,0
37980,18969,0.5,0
37980,18969,0.5,0
37980,18969,0.5,0
37980,18970,0.5,0
37980,19375,0.5,0
37980,19082,0,0
37980,18974,0.5,0
37980,18974,0.5,0
37980,18976,0.5,0
37980,18976,0.5,0
37980,19087,0.5,0
37980,19087,0.5,0
37980,19087,0.5,0
37980,19087,0.5,0
37980,19087,0.5,0
37980,19087,0.5,0
37980,19087,0.5,0
37980,19087,0.5,0
37980,19087,0.5,0
37980,19087,0.5,0
37980,19087,0.5,0
37980,19087,0.5,0
37980,19087,0.5,0
37980,19087,0.5,0
37980,19087,0.5,0
37980,19087,0.5,0
37980,19087,0.5,0
37980,19087,0.5,0
37980,19087,0.5,0
37980,19087,0.5,0
37980,19087,0.5,0
37980,19087,0.5,0
37980,19087,0.5,0
37980,19087,0.5,0
37980,19087,0.5,0
37980,19087,0.5,0
37980,19087,0.5,0
37980,19381,0.75,0
37980,19382,0.75,0
37980,19383,0.75,0
37980,19380,0.75,0
37980,19382,0.75,0
37980,19390,1,0
37980,19395,0.5,0
37980,19490,0.5,0
37980,19810,0.0125,1
37980,19897,0.0125,1
37980,19801,0.0125,1
37980,19804,0.0125,1
37980,19808,0.0125,1
37980,19803,0.0125,1
37980,19890,0.0125,1
37980,19895,0.0125,1
37980,19806,0.0125,1
37980,19807,0.0125,1
37980,19899,0.0125,1
37980,19898,0.0125,1
37980,19802,0.0125,1
37980,19884,0.0125,1
37980,19805,0.0125,1
37980,19809,0.0125,1
37980,19892,0.0125,1
16980,46377,0.016,1
47900,21704,0.0296,1
47900,21701,0.0296,1
47900,21702,0.0296,1
47900,21703,0.0296,1
47900,21705,0.0296,1
19820,48217,0.024,1
19820,48224,0.024,1
19820,48211,0.024,1
19820,48222,0.024,1
19820,48209,0.024,1
19820,48214,0.024,1
19820,48215,0.024,1
19820,48205,0.024,1
