year,cbsa,GEO_ID,CONTROL,LAG_2,LAG_1,TARGET,REMOTE,REMOTE_PPL,Computer,WirelessDevice,Cellular,CableFiber,SatelliteInternet,dist_to_cbd,covid
2017,44140,1001.0,SCP_INCOME_LOW,0.8412322274881517,0.8938428874734607,0.8884120171673819,0.4042289904378379,699,0.777,0.043,0.409,0.722,0.03,8.587381215123983,0
2017,44140,1001.0,SCP_INCOME_MID,0.73828125,0.801948051948052,0.8778135048231511,0.4042289904378379,699,0.777,0.043,0.409,0.722,0.03,8.587381215123983,0
2017,44140,1001.0,SCP_INCOME_HIGH,1.0,1.0,1.0,0.4042289904378379,699,0.777,0.043,0.409,0.722,0.03,8.587381215123983,0
2018,44140,1001.0,SCP_INCOME_LOW,0.8938428874734607,0.8884120171673819,0.909090909090909,0.3976921703606176,572,0.799,0.0409999999999999,0.485,0.742,0.027,8.587381215123983,0
2018,44140,1001.0,SCP_INCOME_MID,0.801948051948052,0.8778135048231511,0.9391891891891893,0.3976921703606176,572,0.799,0.0409999999999999,0.485,0.742,0.027,8.587381215123983,0
2018,44140,1001.0,SCP_INCOME_HIGH,1.0,1.0,0.9238095238095236,0.3976921703606176,572,0.799,0.0409999999999999,0.485,0.742,0.027,8.587381215123983,0
2019,44140,1001.0,SCP_INCOME_LOW,0.8884120171673819,0.909090909090909,0.8790123456790124,0.3993535514580903,599,0.8009999999999999,0.042,0.581,0.6890000000000001,0.025,8.587381215123983,0
2019,44140,1001.0,SCP_INCOME_MID,0.8778135048231511,0.9391891891891893,0.9421487603305786,0.3993535514580903,599,0.8009999999999999,0.042,0.581,0.6890000000000001,0.025,8.587381215123983,0
2019,44140,1001.0,SCP_INCOME_HIGH,1.0,0.9238095238095236,0.8235294117647058,0.3993535514580903,599,0.8009999999999999,0.042,0.581,0.6890000000000001,0.025,8.587381215123983,0
2020,44140,1001.0,SCP_INCOME_LOW,0.909090909090909,0.8790123456790124,0.784256559766764,0.3875800652918295,548,0.785,0.043,0.6729999999999999,0.695,0.021,8.587381215123983,1
2020,44140,1001.0,SCP_INCOME_MID,0.9391891891891893,0.9421487603305786,0.9012345679012346,0.3875800652918295,548,0.785,0.043,0.6729999999999999,0.695,0.021,8.587381215123983,1
2020,44140,1001.0,SCP_INCOME_HIGH,0.9238095238095236,0.8235294117647058,0.7883211678832117,0.3875800652918295,548,0.785,0.043,0.6729999999999999,0.695,0.021,8.587381215123983,1
