year,cbsa,GEO_ID,CONTROL,LAG_2,LAG_1,TARGET,REMOTE,REMOTE_PPL,Computer,WirelessDevice,Cellular,CableFiber,SatelliteInternet,dist_to_cbd,covid
2017,49340,1610,PPL1Y,0.728205128,0.696132597,0.674033149,0.298291022,0.059534387,0.608,0.033,0.397,0.56,0.019,3.296618127,0
2018,49340,1610,PPL1Y,0.696132597,0.674033149,0.678571429,0.301284326,0.064267811,0.599,0.036,0.533,0.544,0.018,3.296618127,0
2019,49340,1610,PPL1Y,0.674033149,0.678571429,0.564971751,0.309617608,0.070483748,0.576,0.041,0.642,0.557,0.023,3.296618127,0
2020,49340,1610,PPL1Y,0.678571429,0.564971751,0.497409326,0.306534368,0.059029806,0.56,0.044,0.706,0.571,0.012,3.296618127,1
2021,49340,1610,PPL1Y,0.564971751,0.497409326,0.492822967,0.326363398,0.054559999,0.593,0.044,0.766,0.622,0.023,3.296618127,1
2022,49340,1610,PPL1Y,0.497409326,0.492822967,0.514150943,0.335731012,0.066708424,0.627,0.044,0.78,0.65,0.029,3.296618127,1
2017,14460,2108,PPL1Y,0.411564626,0.438931298,0.38317757,0.635585283,0.266219224,0.972,0.083,0.529,0.933,0.014,2.776670266,0
2018,14460,2108,PPL1Y,0.438931298,0.38317757,0.333333333,0.617567938,0.257897745,0.945,0.08,0.68,0.873,0.02,2.776670266,0
2019,14460,2108,PPL1Y,0.38317757,0.333333333,0.414285714,0.615717861,0.205334665,0.942,0.066,0.774,0.883,0.047,2.776670266,0
2020,14460,2108,PPL1Y,0.333333333,0.414285714,0.262711864,0.603064392,0.178146029,0.935,0.078,0.885,0.894,0.043,2.776670266,1
2021,14460,2108,PPL1Y,0.414285714,0.262711864,0.260089686,0.651856089,0.207010568,0.934,0.081,0.899,0.861,0.047,2.776670266,1
2022,14460,2108,PPL1Y,0.262711864,0.260089686,0.221698113,0.639253499,0.203432918,0.934,0.07,0.887,0.869,0.068,2.776670266,1
2017,14460,2109,PPL1Y,0.452830189,0.487654321,0.438596491,0.600537058,0.35814184,0.938,0.061,0.593,0.865,0.03,3.18295189,0
2018,14460,2109,PPL1Y,0.487654321,0.438596491,0.46866485,0.58932776,0.370999981,0.945,0.065,0.695,0.865,0.022,3.18295189,0
2019,14460,2109,PPL1Y,0.438596491,0.46866485,0.468208092,0.58684678,0.318696228,0.949,0.058,0.796,0.898,0.025,3.18295189,0
2020,14460,2109,PPL1Y,0.46866485,0.468208092,0.561349693,0.56050759,0.257482173,0.965,0.082,0.921,0.853,0.066,3.18295189,1
2021,14460,2109,PPL1Y,0.468208092,0.561349693,0.570469799,0.554517109,0.267865157,0.971,0.075,0.932,0.834,0.067,3.18295189,1
2022,14460,2109,PPL1Y,0.561349693,0.570469799,0.595441595,0.557937238,0.202252243,0.958,0.078,0.954,0.864,0.065,3.18295189,1
2017,14460,2111,PPL1Y,0.52284264,0.463054187,0.47804878,0.445019408,0.212671679,0.779,0.069,0.54,0.755,0.023,2.689046968,0
2018,14460,2111,PPL1Y,0.463054187,0.47804878,0.394190871,0.463037565,0.214968806,0.755,0.061,0.62,0.752,0.031,2.689046968,0
2019,14460,2111,PPL1Y,0.47804878,0.394190871,0.337552743,0.462064164,0.240973005,0.781,0.067,0.735,0.783,0.035,2.689046968,0
2020,14460,2111,PPL1Y,0.394190871,0.337552743,0.356223176,0.493555522,0.208842096,0.786,0.059,0.866,0.823,0.036,2.689046968,1
2021,14460,2111,PPL1Y,0.337552743,0.356223176,0.346456693,0.510694149,0.202740822,0.81,0.066,0.881,0.827,0.04,2.689046968,1
2022,14460,2111,PPL1Y,0.356223176,0.346456693,0.337349398,0.510235353,0.169265874,0.834,0.06,0.908,0.851,0.05,2.689046968,1
2017,14460,2113,PPL1Y,0.404907975,0.453074434,0.473509934,0.55115881,0.276188422,0.861,0.047,0.5,0.845,0.008,3.077758281,0
2018,14460,2113,PPL1Y,0.453074434,0.473509934,0.523648649,0.562589015,0.298000827,0.873,0.051,0.61,0.858,0.014,3.077758281,0
2019,14460,2113,PPL1Y,0.473509934,0.523648649,0.551948052,0.54992053,0.298115598,0.904,0.047,0.725,0.896,0.027,3.077758281,0
2020,14460,2113,PPL1Y,0.523648649,0.551948052,0.484848485,0.571192669,0.307116098,0.907,0.054,0.897,0.897,0.071,3.077758281,1
2021,14460,2113,PPL1Y,0.551948052,0.484848485,0.439306358,0.574702475,0.239774324,0.918,0.062,0.906,0.889,0.085,3.077758281,1
2022,14460,2113,PPL1Y,0.484848485,0.439306358,0.346875,0.565877497,0.236250592,0.915,0.061,0.905,0.858,0.094,3.077758281,1
2017,14460,2114,PPL1Y,0.531343284,0.49112426,0.469387755,0.548543324,0.237303234,0.918,0.037,0.611,0.842,0.023,3.090602858,0
2018,14460,2114,PPL1Y,0.49112426,0.469387755,0.442307692,0.558020863,0.227097874,0.926,0.032,0.695,0.848,0.032,3.090602858,0
