year,cbsa,GEO_ID,CONTROL,LAG_2,LAG_1,TARGET,REMOTE_x,REMOTE_PPL_x,Computer_x,WirelessDevice_x,Cellular_x,CableFiber_x,SatelliteInternet_x,dist_to_cbd_x,covid,REMOTE_y,REMOTE_PPL_y,Computer_y,WirelessDevice_y,Cellular_y,CableFiber_y,SatelliteInternet_y,dist_to_cbd_y,REMOTE,REMOTE_PPL,Computer,WirelessDevice,Cellular,CableFiber,SatelliteInternet,dist_to_cbd
2022,49340,1603.0,SCP_PPL1Y,0.7669172932330827,0.7651515151515151,0.7426470588235295,0.3498957458477459,387,0.718,0.053,0.845,0.7040000000000001,0.038,8.338035768461827,1,0.3498957458477459,387,0.718,0.053,0.845,0.7040000000000001,0.038,8.338035768461827,0.3498957458477459,387,0.718,0.053,0.845,0.7040000000000001,0.038,8.338035768461827
2017,49340,1604.0,SCP_PPL1Y,0.7672413793103449,0.7647058823529411,0.7387387387387387,0.3696744145077399,926,0.76,0.0279999999999999,0.418,0.6970000000000001,0.035,7.976607124952816,0,0.3696744145077399,926,0.76,0.0279999999999999,0.418,0.6970000000000001,0.035,7.976607124952816,0.3696744145077399,926,0.76,0.0279999999999999,0.418,0.6970000000000001,0.035,7.976607124952816
2018,49340,1604.0,SCP_PPL1Y,0.7647058823529411,0.7387387387387387,0.6974789915966387,0.3763532935527342,886,0.738,0.031,0.551,0.6990000000000001,0.035,7.976607124952816,0,0.3763532935527342,886,0.738,0.031,0.551,0.6990000000000001,0.035,7.976607124952816,0.3763532935527342,886,0.738,0.031,0.551,0.6990000000000001,0.035,7.976607124952816
2019,49340,1604.0,SCP_PPL1Y,0.7387387387387387,0.6974789915966387,0.6608695652173913,0.3588999303571947,891,0.738,0.031,0.685,0.71,0.037,7.976607124952816,0,0.3588999303571947,891,0.738,0.031,0.685,0.71,0.037,7.976607124952816,0.3588999303571947,891,0.738,0.031,0.685,0.71,0.037,7.976607124952816
2020,49340,1604.0,SCP_PPL1Y,0.6974789915966387,0.6608695652173913,0.6486486486486487,0.3795401213514495,1145,0.735,0.035,0.812,0.742,0.036,7.976607124952816,1,0.3795401213514495,1145,0.735,0.035,0.812,0.742,0.036,7.976607124952816,0.3795401213514495,1145,0.735,0.035,0.812,0.742,0.036,7.976607124952816
2021,49340,1604.0,SCP_PPL1Y,0.6608695652173913,0.6486486486486487,0.6153846153846154,0.3797142224225879,1243,0.742,0.027,0.8370000000000001,0.753,0.027,7.976607124952816,1,0.3797142224225879,1243,0.742,0.027,0.8370000000000001,0.753,0.027,7.976607124952816,0.3797142224225879,1243,0.742,0.027,0.8370000000000001,0.753,0.027,7.976607124952816
2022,49340,1604.0,SCP_PPL1Y,0.6486486486486487,0.6153846153846154,0.5882352941176471,0.3942155169207125,1190,0.757,0.036,0.848,0.764,0.026,7.976607124952816,1,0.3942155169207125,1190,0.757,0.036,0.848,0.764,0.026,7.976607124952816,0.3942155169207125,1190,0.757,0.036,0.848,0.764,0.026,7.976607124952816
2017,49340,1605.0,SCP_PPL1Y,0.761904761904762,0.8,0.7944444444444445,0.35236291928158,743,0.6679999999999999,0.035,0.402,0.609,0.0289999999999999,8.026078392981535,0,0.35236291928158,743,0.6679999999999999,0.035,0.402,0.609,0.0289999999999999,8.026078392981535,0.35236291928158,743,0.6679999999999999,0.035,0.402,0.609,0.0289999999999999,8.026078392981535
2018,49340,1605.0,SCP_PPL1Y,0.8,0.7944444444444445,0.7697841726618705,0.3694139110832398,761,0.655,0.037,0.505,0.615,0.024,8.026078392981535,0,0.3694139110832398,761,0.655,0.037,0.505,0.615,0.024,8.026078392981535,0.3694139110832398,761,0.655,0.037,0.505,0.615,0.024,8.026078392981535
2019,49340,1605.0,SCP_PPL1Y,0.7944444444444445,0.7697841726618705,0.7795275590551182,0.3592885174239922,714,0.638,0.037,0.614,0.628,0.025,8.026078392981535,0,0.3592885174239922,714,0.638,0.037,0.614,0.628,0.025,8.026078392981535,0.3592885174239922,714,0.638,0.037,0.614,0.628,0.025,8.026078392981535
2020,49340,1605.0,SCP_PPL1Y,0.7697841726618705,0.7795275590551182,0.767741935483871,0.3566942645997991,650,0.637,0.0409999999999999,0.696,0.655,0.026,8.026078392981535,1,0.3566942645997991,650,0.637,0.0409999999999999,0.696,0.655,0.026,8.026078392981535,0.3566942645997991,650,0.637,0.0409999999999999,0.696,0.655,0.026,8.026078392981535
2021,49340,1605.0,SCP_PPL1Y,0.7795275590551182,0.767741935483871,0.7534246575342466,0.3692005415631494,755,0.669,0.043,0.75,0.69,0.0279999999999999,8.026078392981535,1,0.3692005415631494,755,0.669,0.043,0.75,0.69,0.0279999999999999,8.026078392981535,0.3692005415631494,755,0.669,0.043,0.75,0.69,0.0279999999999999,8.026078392981535
2022,49340,1605.0,SCP_PPL1Y,0.767741935483871,0.7534246575342466,0.7361111111111112,0.3651951710445515,549,0.698,0.044,0.7759999999999999,0.73,0.031,8.026078392981535,1,0.3651951710445515,549,0.698,0.044,0.7759999999999999,0.73,0.031,8.026078392981535,0.3651951710445515,549,0.698,0.044,0.7759999999999999,0.73,0.031,8.026078392981535
2017,49340,1606.0,SCP_PPL1Y,0.7872340425531915,0.7375,0.6470588235294118,0.3935021209929194,871,0.8170000000000001,0.042,0.484,0.763,0.027,8.655101489634813,0,0.3935021209929194,871,0.8170000000000001,0.042,0.484,0.763,0.027,8.655101489634813,0.3935021209929194,871,0.8170000000000001,0.042,0.484,0.763,0.027,8.655101489634813
2018,49340,1606.0,SCP_PPL1Y,0.7375,0.6470588235294118,0.6375,0.393015766894236,870,0.81,0.036,0.5670000000000001,0.748,0.037,8.655101489634813,0,0.393015766894236,870,0.81,0.036,0.5670000000000001,0.748,0.037,8.655101489634813,0.393015766894236,870,0.81,0.036,0.5670000000000001,0.748,0.037,8.655101489634813
2019,49340,1606.0,SCP_PPL1Y,0.6470588235294118,0.6375,0.6804123711340206,0.3897272686487221,771,0.792,0.04,0.6729999999999999,0.735,0.031,8.655101489634813,0,0.3897272686487221,771,0.792,0.04,0.6729999999999999,0.735,0.031,8.655101489634813,0.3897272686487221,771,0.792,0.04,0.6729999999999999,0.735,0.031,8.655101489634813
2020,49340,1606.0,SCP_PPL1Y,0.6375,0.6804123711340206,0.5425531914893617,0.4049013767341003,743,0.7979999999999999,0.045,0.773,0.7440000000000001,0.042,8.655101489634813,1,0.4049013767341003,743,0.7979999999999999,0.045,0.773,0.7440000000000001,0.042,8.655101489634813,0.4049013767341003,743,0.7979999999999999,0.045,0.773,0.7440000000000001,0.042,8.655101489634813
2021,49340,1606.0,SCP_PPL1Y,0.6804123711340206,0.5425531914893617,0.4387755102040815,0.4202123301482137,730,0.8290000000000001,0.0409999999999999,0.818,0.777,0.038,8.655101489634813,1,0.4202123301482137,730,0.8290000000000001,0.0409999999999999,0.818,0.777,0.038,8.655101489634813,0.4202123301482137,730,0.8290000000000001,0.0409999999999999,0.818,0.777,0.038,8.655101489634813
2022,49340,1606.0,SCP_PPL1Y,0.5425531914893617,0.4387755102040815,0.4821428571428571,0.4197438474713535,682,0.8140000000000001,0.044,0.8079999999999999,0.7609999999999999,0.034,8.655101489634813,1,0.4197438474713535,682,0.8140000000000001,0.044,0.8079999999999999,0.7609999999999999,0.034,8.655101489634813,0.4197438474713535,682,0.8140000000000001,0.044,0.8079999999999999,0.7609999999999999,0.034,8.655101489634813
2017,49340,1608.0,SCP_PPL1Y,0.6825396825396824,0.6972972972972973,0.519774011299435,0.3796883485614035,74,0.563,0.093,0.3929999999999999,0.52,0.024,5.412741951172768,0,0.3796883485614035,74,0.563,0.093,0.3929999999999999,0.52,0.024,5.412741951172768,0.3796883485614035,74,0.563,0.093,0.3929999999999999,0.52,0.024,5.412741951172768
2018,49340,1608.0,SCP_PPL1Y,0.6972972972972973,0.519774011299435,0.5952380952380952,0.3447466780106157,72,0.583,0.08,0.56,0.5539999999999999,0.024,5.412741951172768,0,0.3447466780106157,72,0.583,0.08,0.56,0.5539999999999999,0.024,5.412741951172768,0.3447466780106157,72,0.583,0.08,0.56,0.5539999999999999,0.024,5.412741951172768
2019,49340,1608.0,SCP_PPL1Y,0.519774011299435,0.5952380952380952,0.6611111111111111,0.3293434881928934,65,0.568,0.075,0.61,0.575,0.026,5.412741951172768,0,0.3293434881928934,65,0.568,0.075,0.61,0.575,0.026,5.412741951172768,0.3293434881928934,65,0.568,0.075,0.61,0.575,0.026,5.412741951172768
2020,49340,1608.0,SCP_PPL1Y,0.5952380952380952,0.6611111111111111,0.6628571428571428,0.3345170611688771,67,0.685,0.096,0.7440000000000001,0.674,0.015,5.412741951172768,1,0.3345170611688771,67,0.685,0.096,0.7440000000000001,0.674,0.015,5.412741951172768,0.3345170611688771,67,0.685,0.096,0.7440000000000001,0.674,0.015,5.412741951172768
2021,49340,1608.0,SCP_PPL1Y,0.6611111111111111,0.6628571428571428,0.726643598615917,0.3091721552926174,102,0.782,0.077,0.857,0.735,0.0139999999999999,5.412741951172768,1,0.3091721552926174,102,0.782,0.077,0.857,0.735,0.0139999999999999,5.412741951172768,0.3091721552926174,102,0.782,0.077,0.857,0.735,0.0139999999999999,5.412741951172768
