year,cbsa,GEO_ID,CONTROL,LAG_2,LAG_1,TARGET,REMOTE,REMOTE_PPL,Computer,WirelessDevice,Cellular,CableFiber,SatelliteInternet,dist_to_cbd,covid
2017,44140,1001.0,SCP_AGE_LOW,0.7737789203084832,0.8337730870712401,0.8971428571428571,0.4042289904378379,699,0.777,0.043,0.409,0.722,0.03,8.587381215123983,0
2017,44140,1001.0,SCP_AGE_MID,0.8571428571428571,0.9187817258883249,0.9113924050632912,0.4042289904378379,699,0.777,0.043,0.409,0.722,0.03,8.587381215123983,0
2017,44140,1001.0,SCP_AGE_HIGH,1.0,0.8571428571428571,0.765625,0.4042289904378379,699,0.777,0.043,0.409,0.722,0.03,8.587381215123983,0
2018,44140,1001.0,SCP_AGE_LOW,0.8337730870712401,0.8971428571428571,0.9037037037037036,0.3976921703606176,572,0.799,0.0409999999999999,0.485,0.742,0.027,8.587381215123983,0
2018,44140,1001.0,SCP_AGE_MID,0.9187817258883249,0.9113924050632912,0.9402985074626864,0.3976921703606176,572,0.799,0.0409999999999999,0.485,0.742,0.027,8.587381215123983,0
2018,44140,1001.0,SCP_AGE_HIGH,0.8571428571428571,0.765625,0.8297872340425532,0.3976921703606176,572,0.799,0.0409999999999999,0.485,0.742,0.027,8.587381215123983,0
2019,44140,1001.0,SCP_AGE_LOW,0.8971428571428571,0.9037037037037036,0.8684210526315789,0.3993535514580903,599,0.8009999999999999,0.042,0.581,0.6890000000000001,0.025,8.587381215123983,0
2019,44140,1001.0,SCP_AGE_MID,0.9113924050632912,0.9402985074626864,0.8586572438162544,0.3993535514580903,599,0.8009999999999999,0.042,0.581,0.6890000000000001,0.025,8.587381215123983,0
2019,44140,1001.0,SCP_AGE_HIGH,0.765625,0.8297872340425532,0.8,0.3993535514580903,599,0.8009999999999999,0.042,0.581,0.6890000000000001,0.025,8.587381215123983,0
2020,44140,1001.0,SCP_AGE_LOW,0.9037037037037036,0.8684210526315789,0.6731391585760519,0.3875800652918295,548,0.785,0.043,0.6729999999999999,0.695,0.021,8.587381215123983,1
2020,44140,1001.0,SCP_AGE_MID,0.9402985074626864,0.8586572438162544,0.8592964824120602,0.3875800652918295,548,0.785,0.043,0.6729999999999999,0.695,0.021,8.587381215123983,1
2020,44140,1001.0,SCP_AGE_HIGH,0.8297872340425532,0.8,0.851063829787234,0.3875800652918295,548,0.785,0.043,0.6729999999999999,0.695,0.021,8.587381215123983,1
2021,44140,1001.0,SCP_AGE_LOW,0.8684210526315789,0.6731391585760519,0.7026315789473684,0.3831503108380905,581,0.784,0.055,0.726,0.679,0.022,8.587381215123983,1
2021,44140,1001.0,SCP_AGE_MID,0.8586572438162544,0.8592964824120602,0.8669354838709679,0.3831503108380905,581,0.784,0.055,0.726,0.679,0.022,8.587381215123983,1
2021,44140,1001.0,SCP_AGE_HIGH,0.8,0.851063829787234,0.72,0.3831503108380905,581,0.784,0.055,0.726,0.679,0.022,8.587381215123983,1
2022,44140,1001.0,SCP_AGE_LOW,0.6731391585760519,0.7026315789473684,0.6080402010050252,0.3712372015398051,456,0.7509999999999999,0.046,0.789,0.667,0.017,8.587381215123983,1
2022,44140,1001.0,SCP_AGE_MID,0.8592964824120602,0.8669354838709679,0.8888888888888888,0.3712372015398051,456,0.7509999999999999,0.046,0.789,0.667,0.017,8.587381215123983,1
2022,44140,1001.0,SCP_AGE_HIGH,0.851063829787234,0.72,0.6538461538461539,0.3712372015398051,456,0.7509999999999999,0.046,0.789,0.667,0.017,8.587381215123983,1
2017,49340,1603.0,SCP_AGE_LOW,0.6726618705035972,0.6159695817490494,0.4791666666666666,0.3317876523097959,504,0.736,0.035,0.4579999999999999,0.6759999999999999,0.023,8.338035768461827,0
2017,49340,1603.0,SCP_AGE_MID,0.7409326424870466,0.7644230769230769,0.7935779816513762,0.3317876523097959,504,0.736,0.035,0.4579999999999999,0.6759999999999999,0.023,8.338035768461827,0
2017,49340,1603.0,SCP_AGE_HIGH,0.8636363636363636,0.9411764705882352,1.0,0.3317876523097959,504,0.736,0.035,0.4579999999999999,0.6759999999999999,0.023,8.338035768461827,0
2018,49340,1603.0,SCP_AGE_LOW,0.6159695817490494,0.4791666666666666,0.5,0.3162468532925606,489,0.6920000000000001,0.037,0.565,0.6459999999999999,0.0289999999999999,8.338035768461827,0
2018,49340,1603.0,SCP_AGE_MID,0.7644230769230769,0.7935779816513762,0.75,0.3162468532925606,489,0.6920000000000001,0.037,0.565,0.6459999999999999,0.0289999999999999,8.338035768461827,0
2018,49340,1603.0,SCP_AGE_HIGH,0.9411764705882352,1.0,0.92,0.3162468532925606,489,0.6920000000000001,0.037,0.565,0.6459999999999999,0.0289999999999999,8.338035768461827,0
2019,49340,1603.0,SCP_AGE_LOW,0.4791666666666666,0.5,0.6300268096514746,0.3318432143515674,607,0.6990000000000001,0.034,0.6970000000000001,0.6829999999999999,0.026,8.338035768461827,0
2019,49340,1603.0,SCP_AGE_MID,0.7935779816513762,0.75,0.8012048192771085,0.3318432143515674,607,0.6990000000000001,0.034,0.6970000000000001,0.6829999999999999,0.026,8.338035768461827,0
2019,49340,1603.0,SCP_AGE_HIGH,1.0,0.92,0.91044776119403,0.3318432143515674,607,0.6990000000000001,0.034,0.6970000000000001,0.6829999999999999,0.026,8.338035768461827,0
2020,49340,1603.0,SCP_AGE_LOW,0.5,0.6300268096514746,0.7153652392947104,0.3404791235413032,462,0.6659999999999999,0.037,0.7659999999999999,0.645,0.023,8.338035768461827,1
